texto de referencia,Lugar de vivienda (codigo tienda/casa de Jean P.),Lugar de trabajo (codigo tienda/casa de Jean P.),nom privilégié,Prénom privilégié,Variante n°1 du Nom,Variante n°1 du Prénom,Variante n°2 du Nom,Variante nº du Nom,Variante n°2 du Prénom,Titulo,variante n°1 del Titulo,variante n°2 del Titulo,Métier / occupation,variante n°1 del Métier / occupation,variante n°2 del Métier / occupation,ultima religion conocida,fecha cuando se firma el contrato,Citation (sources) - copiar pegar ref abajo de la pagina,Lugar de trabajo (zona/barrio - siglos 13-14-15),Lugar de trabajo (nombre de calle - siglos 13-14-15),Lugar de trabajo (nota - indicaciones localizacion - siglos 13-14-15),Lugar de trabajo (nombre de tienda/casa - siglos 13-14-15),Lugar de trabajo (direccion exacta actual),Lugar de vivienda (zona/barrio - siglos 13-14-15),Lugar de vivienda (nombre de calle - siglos 13-14-15),Lugar de vivienda (nota - indicaciones localizacion - siglos 13-14-15),Lugar de vivienda (nombre tienda/casa - siglos 13-14-15),Lugar de vivienda (direccion exacta actual)
TTOPEDITOR-T-20-BA-MO,,CH_BA_00_1492,,donna Fotox,,,,,,,,,,,,musulmana*,28/11/1492,"Una de las casas que dieron a la mesa del refitor en troque por las que se derribaron alderrredor de la iglesia, tienelas agora donna Fotox muger de maestre Mahomad",,La Sal ,Han por linderos de la una parte casas de Françisco de Ubeda e de la otra el cobertiso de la iglesia,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,,,,,,,,,,,,,,,1372,"les héritiers de Juan García, monedero, tiennent la tienda que tenait auparavant Pedro González, platero",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,,,,,,,,,,,,,,,1408,"la femme de Juan García Laso, mère de García Laso (ou Gutierre Laso), tient, a la Sal, la tienda que tenait Pedro González, platero",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,Flores,María,,,,,,,,,,,,,1422,"la tienda que tenait auparavant Pedro González, platero, située a la Sal, est tenue à cens par María Flores, avec la sotanillo en dessous",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,López,Mencía,,,,,,,,,,,,,1439,"la tienda que tenait auparavant María Flores, qui était la femme de Juan Vázquez, est tenue par Mencía López, femme de son fils",,La Sal ,Elle jouxte d'un côté une tienda de l'Église et de l'autre des tiendas de S. Ginés,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,Arias,Juan,,,,,,,,,,,,,11/11/1437,"la tienda que tenait Juan Arias, à la Sal, Mencía López, femme de Juan Arias, a fait reconnaissance",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,Arias,María,,,,,,,,,,,,,19/11/1479,"María Arias, fille et héritière de Juan Arias et Mencía López, a fait reconnaissance des 42 mrs. (de cens) pour cette tienda",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_01,,Arias,Antón,,,,,,,,,,,,,30/09/1483,"Antón Arias, fils de María Arias, et Mencía Arias, sa sœur, femme d'Andrés de Toledo, cantor du roi et de la reine, reconnaissent un cens (...)  pesant sur une maison",,,,,,,La Sal ,"une maison située dans la rue dite de la Sal, à la colación de S. Ginés, jouxtant d'une part une maison de Juan López de Ubeda, trapero, et de l'autre une maison d'Isabel Rodríguez, femme de Juan, barbero (CH_AA_02), au dos l'alcaicería, et la rue",,
TTOPEDITOR-T-20-BA-MO,CH_BA_01,,Arias,Mencía,,,,,,,,,,,,,30/09/1483,"Antón Arias, fils de María Arias, et Mencía Arias, sa sœur, femme d'Andrés de Toledo, cantor du roi et de la reine, reconnaissent un cens (...)  pesant sur une maison",,,,,,,La Sal ,"une maison située dans la rue dite de la Sal, à la colación de S. Ginés, jouxtant d'une part une maison de Juan López de Ubeda, trapero, et de l'autre une maison d'Isabel Rodríguez, femme de Juan, barbero (CH_AA_02), au dos l'alcaicería, et la rue",,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,Arias,Mencía,,,,,,,,,,,,,1491,"la maison que tenait antérieurement Juan Arias, est tenue par Mencía Arias",,La Sal ,Elle jouxte d'un côté une maison de l'Église et de l'autre une maison tributaire à S. Ginés,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_01,Arias,Mencía,,,,,,,,,,,,,15/10/1493,"le chapitre a autorisé Antón Arias à vendre à sa sœur, Mencía Arias, la moitié de la maison qu'ils tenaient",,La Sal ,,,,,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,,Abrahen,,,,,,,,,armero,,,,1372,"Abrahen, armero, et Asona, sa femme, tiennent une tienda",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,,Asona,,,,,,,,,,,,,1372,"Abrahen, armero, et Asona, sa femme, tiennent une tienda",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,López,Juan,Sevillano,,,,,,,,,,,,22/07/1403,"le chapitre baille à Juan López Sevillano et Mencía López, sa femme, une tienda située a la Sal (...) avec la caution de Hasena, mère de ce Juan López",,La Sal ,"une tienda située a la Sal, jouxtant d'une part une tienda de l'Église tenue par la femme de Juan García (CH_BA_01) et de l'autre une tienda de l'Église que tient Rodrigo Alfonso, alfaharero",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,López,Mencía,,,,,,,,,,,,,22/07/1403,"le chapitre baille à Juan López Sevillano et Mencía López, sa femme, une tienda située a la Sal (...) avec la caution de Hasena, mère de ce Juan López",,La Sal ,"une tienda située a la Sal, jouxtant d'une part une tienda de l'Église tenue par la femme de Juan García (CH_BA_01) et de l'autre une tienda de l'Église que tient Rodrigo Alfonso, alfaharero",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,López,Juan,Sevillano,,,,,,,,,,,,1408,"Juan López Sevillano, tient la tienda que tenait aupaaravant Abrahen, armero",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,,Abrahen,,,,,,,,,armero,,,,1408,"Juan López Sevillano, tient la tienda que tenait aupaaravant Abrahen, armero",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,López,Diego,,,,,,,,,albañil,,,,1439,"la tienda que tenait Juan López Sevillano est tenue par Diego López, son fils",,La Sal ,"Elle jouxte de chaque côté des tiendas de l'Église et un sotanillo, et comporte à proximité un apartado de tienda",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,Rodríguez,Juan,de Ajofrín,,,,,,,,barbero,,,,22/01/1468,"a été baillée à Juan Rodríguez de Ajofrín, barbero, et Isabel Rodríguez, sa femme (...)  avec la caution d'Alfonso de Vargas, Pedro de Ajofrín, et Francisco de Ajofrín, tous trois frères de Juan Rodríguez, et celle  de Juan de Toledo, colchero, frère d'Isabel Rodríguez",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,Rodríguez,Isabel,,,,,,,,,,,,,22/01/1468,"a été baillée à Juan Rodríguez de Ajofrín, barbero, et Isabel Rodríguez, sa femme (...)  avec la caution d'Alfonso de Vargas, Pedro de Ajofrín, et Francisco de Ajofrín, tous trois frères de Juan Rodríguez, et celle de Juan de Toledo, colchero, frère d'Isabel Rodríguez",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,de Ubeda,Gonzalo,,,,,,,,,,,,,1489,elle est tenue par Gonzalo de Ubeda,,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,de Ubeda,Gonzalo,,,,,,,,,,,,,1491,"la maison que tenait Diego López, albañil, est tenue par Gonzalo de Ubeda",,La Sal ,Elle jouxte d'un côté la maison susdite (CH_BA_01) et de l'autre une maison de la de Fontona tributaire à l'Église,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_02,Alvarez,don Francisco,,,,,,chanoine,,,maestrescuela,,,,23/11/1497,"le chapitre l'a baillée au chanoine don Francisco Alvarez, maestrescuela",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,de Guadalajara,Aly,,,,,,,,,Maestre,,,,1372,"Maestre Aly, fils de Faras de los cavall(er)os de Guadalfajara, tient la tienda que tenait auparavant Ally, moro (...)  et il existe un conflit entre le chapitre et Gudiel Alfonso Cervatos, ce dernier soutenant que le chapitre est tenu de (re)faire la maison",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,Sánchez,Juan,,,,,,racionero,,,,,,,,"Maestre Aly tient une autre tienda que tenait auparavant Juan Sánchez, racionero",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,Alfonso,Rodrigo,,,,,,,,,alfaharero,,,,1391,"Rodrigo Alfonso, fils de Juan Fernández, alfaharero, et mari d'Inés Fernández, demeurant à la colación de S. Yuste, tient la tienda auparavant tenue par Maestre Aly",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,Fernández,Inés,,,,,,,,,,,,,1391,"Rodrigo Alfonso, fils de Juan Fernández, alfaharero, et mari d'Inés Fernández, demeurant à la colación de S. Yuste, tient la tienda auparavant tenue par Maestre Aly",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,Fernández,Inés,,,,,,,,,,,,,1422,"Inés Fernández, femme de Rodrigo Alfonso, alfaharero, tient a la Sal, la tienda auparavant tenue par Maestre Ali",,La Sal ,a la Sal,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,,Hamete,,,,,,,,,alfahar,,,moro,13/12/1427,"le chapitre baille à Hamete, alfahar, fils de Maestre Haçan, moro, vecino de Tolède, demeurant a la calle que sube a casa de Pero Carrillo  en même temps que le Corral de los alfahareros, à l'Arrabal",,La Sal ,"une tienda, avec sa cámara, a la Sal, jouxtant une tienda de Pedro López de las Roelas tenue par Juan Rodríguez, alfahar, et une tienda de Juan López Sevillano, et la rue devant la porte, le tout précédemment tenu par Inés Fernández, alfaharera, la tienda",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,Sánchez,María,,,,,,,,,frutera,,,,31/05/1428,"le chapitre baille à María Sánchez, frutera, demeurant en la plaça où l'on a coutume de vendre les fruits, en même temps que le Corral de los alfahareros, à l'Arrabal (...)  avec la caution de Diego Rodríguez de Villarreal, criado de Gonzalo López de la Fuente, mercador, et d'Alvar Martínez de Illescas, sastre, fils de don Adan",,La Sal ,"une tienda sobradada, située a la Sal/ Elle jouxte d'un côté une tienda de l'Église et de l'autre une tienda des héritiers de Pedro López de las Roelas",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_03,,Abrahen,,,,,,,,,Maestre  alfaharero,,,moro,16/08/1440,"le chapitre baille à Maestre Abrahen, moro, alfaharero, une maison tienda (...) avec la caution d'Alvar López del Arroyo. En 1450, la tienda est au nom de doña Fátima, femme de don Abraem, alfaharero",,La Sal ,"a la Sal (...)  jouxtant une maison de Diego López fils du Sevillano, une maison de Juan Rodríguez, el casarquillo, alfahar",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,Rodríguez,Elvira,,,,,,,,,,,,,11/07/1452,"le chapitre baille à Elvira Rodríguez, femme de Rodrigo Alfonso, sastre, une maison située dans la calle de la Sal (...)  avec la caution de Diego de Carrión, tundidor, fils d'Elvira Rodríguez, et de Juan López de Ubeda, sedero",,La Sal ,"jouxtant une maison d'Alvar García, tundidor, et une maison de Diego López Sevillano, que tenait auparavant doña Fátima, mora, et Mahomad Aleeche, alfaharero",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,Alfonso,Rodrigo,,,,,,,,,sastre,,,,11/07/1452,"le chapitre baille à Elvira Rodríguez, femme de Rodrigo Alfonso, sastre, une maison située dans la calle de la Sal (...)  avec la caution de Diego de Carrión, tundidor, fils d'Elvira Rodríguez, et de Juan López de Ubeda, sedero",,La Sal ,"jouxtant une maison d'Alvar García, tundidor, et une maison de Diego López Sevillano, que tenait auparavant doña Fátima, mora, et Mahomad Aleeche, alfaharero",,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,de Carrión,Diego,,,,,,,,,,,,,1489,"la maison est au nom de Diego de Carrión, fils d'Elvira Rodríguez",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,,doña Fátima,,,,,,,,,,,,mora,1491,"la maison et tienda que tenait antérieurement doña Fátima, mora, est tenue par Diego de Carrión",,La Sal ,Elle jouxte d'un côté la maison susdite (CH_BA_02) et de l'autre une maison de Diego de Olmedo,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,de Toledo,García,,,,,,,,,tundidor,,,,,", la maison qu'avait tenue doña Fátima, femme de don Abrahen, alfaharero, et ensuite García de Toledo, tundidor",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_03,CH_BA_03,de Olivares,Juan,,,,,,,,,sastre,,,,14/12/1493,"ce García de Toledo en ayant fait abandon, a été baillée à Juan de Olivares, sastre, et Juana Díaz, sa femme (...) avec la caution d'Antón de Palomares, tejedor de seda",,La Sal ,,,"Calle de la Sal, nº2",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Díaz,Pedro,,,,,,,,,almotacén,,,,1372,"Pedro Díaz, almotacén, tient une autre tienda que tenait auparavant Juan Sánchez, racionero",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Sánchez,Juan,,,,,,racionero,,,,,,,1372,"Pedro Díaz, almotacén, tient une autre tienda que tenait auparavant Juan Sánchez, racionero",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Fernández,García,,,,,,homme du chapitre,,,,,,,1380,"En 1380, García Fernández, homme du chapitre, tient la tienda que tenait auparavant Pedro Fernández, alfayate",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Fernández,Pedro,,,,,,,,,alfayate,,,,,"En 1380, García Fernández, homme du chapitre, tient la tienda que tenait auparavant Pedro Fernández, alfayate",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Alfonso,García,,,,,,,,,alfaharero,,,,9/0/1399,"le chapitre baille à García Alfonso, alfaharero, et Leonor González, sa femme, une tienda, a la Sal (...) avec la caution de Fernand Alfonso, alfaharero, fils de Diego Alfonso, alfaharero",,La Sal ," une tienda, a la Sal (...) jouxtant la première, située au coin de rue",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Ochoa,Pedro,,,,,,,,,,,,,,l'une des deux que tenait précédemment du chapitre Pedro Ochoa,,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,,Yaya,,,,,,,,,alfaharero,,,moro,9/0/1399,"jouxtant la première, située au coin de rue, baillée le même jour à Yaya, moro et alfaharero, et à Fátima, sa femme",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Sánchez,Alfonso,,,,,,,,,alfaharero,,,,01/09/1406,"le chapitre baille à Alfonso Sánchez, alfaharero, fils d'Alfonso Sánchez, une tienda située a la Sal (...)  avec la caution de Juan García de Padilla",,La Sal ,"jouxtant d'une part la première tienda, du coin de rue, que tient du chapitre Yaya, moro, alfaharero, avec au dessus de cette tienda un soberado où demeure Juan López Sevillano",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,García,Juan,,,,,,curé d'Orgaz,,,,,,,1408,"García Alfonso, alfarero, et sa femme, Leonor González, tenaient une tienda a la Sal (...) C'est maintenant Juan García, curé d'Orgaz",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Rodríguez,Juan,,,,,,,,,,,,,1422,"une tienda située a la Sal est tenue par Juan Rodríguez et Juana Rodríguez, sa femme (...) avec la caution de Benito García de Torrijos",,La Sal ,située a la Sal,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Rodríguez,Juana,,,,,,,,,,,,,1422,"une tienda située a la Sal est tenue par Juan Rodríguez et Juana Rodríguez, sa femme (...) avec la caution de Benito García de Torrijos",,La Sal ,située a la Sal,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_04,CH_BA_04,González,Fernand,,,,,,,,,boticario,,,,21/10/0429,"le chapitre baille à Fernand González, boticario, et Leonor Gutiérrez, sa femme, une casa tienda, a la Sal (...) vacante par abandon de ́Juana Rodríguez, alfaharera (...) avec la caution de Lope Fernández, prieur de Aroche et racionero, et de Sancho González, escribano del Rey",,La Sal ,"une casa tienda, a la Sal, jouxtant une autre casa tienda du chapitre, une casa tienda de Fernando Niño, et la rue",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_04,CH_BA_04,Rodríguez,Juana,,,,,,,,,alfaharera,,,,,"vacante par abandon de ́Juana Rodríguez, alfaharera",,La Sal ,"une casa tienda, a la Sal, jouxtant une autre casa tienda du chapitre, une casa tienda de Fernando Niño, et la rue",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Fernández,Juan,,,,,,,,,cardador,,,,,"la tienda que tenait Juan Fernández, cardador, est tenue par Fernand Gutiérrez, boticario",,La Sal ,"Elle jouxte d'un côté une tienda de Maestre Abraen, moro, et de l'autre une tienda de Maestre Yaya, moro",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,CH_BA_04,CH_BA_04,Gutiérrez,Fernand,,,,,,,,,boticario,,,,1439,"la tienda que tenait Juan Fernández, cardador, est tenue par Fernand Gutiérrez, boticario",,La Sal ,"Elle jouxte d'un côté une tienda de Maestre Abraen, moro, et de l'autre une tienda de Maestre Yaya, moro",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,Díaz,Pedro,,,,,,,,,boticario,,,,12/12/1460,"le chapitre baille à Pedro Díaz, boticario, et Beatriz González, sa femme, une tienda située a la Sal (...) avec la caution de Fernando de Santa Clara, son beau-fils (mi andado)",,La Sal ,"une tienda située a la Sal, à la colación de S. Ginés, jouxtant d'un côté et au dessus de cette tienda une maison du chapitre que tient Maestre Yuçaf, alfaharero (CH_BA_5a+b), et de l'autre une maison de Maestre Mahomad, alfaharero, et la rue",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,de Santa Clara,Fernando,,,,,,,,,,,,,01/07/1480,"Fernando de Santa Clara, montrant qu'il a été désigné pour succéder dans cette tienda, s'est obligé et a donné la caution de Juan de Toledo, mercador",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,de Ubeda,Gonzalo,,,,,,,,,mercador,,,,09/08/1486,"le chapitre baille la tienda que tenaient antérieurement Fernando de Santa Clara, dans la Calle de la Sal, à Gonzalo de Ubeda, mercador (...) avec la caution de Miguel de Rojas, mercador",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,de Rojas,Miguel,,,,,,,,,trapero,,,,14/05/1490,"la maison que tenait Gonzalo de Ubeda, fils de Francisco López, a été baillée à Miguel de Rojas, trapero",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,de Rojas,Miguel,,,,,,,,,trapero,,,,1491,"la maison que tenait antérieurement Fernand Gutiérrez, boticario, est tenue par Miguel de Rojas",,La Sal ,Elle jouxte d'un côté une maison de l'Église et de l'autre une maison d'Alfonso Pérez de Aguilera,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_04,,Hamete,,,,,,,,,alfaharero,,,moro,03/06/1493,"Miguel de Rojas a fait abandon de cette maison tienda, et le chapitre l'a baillée à Hamete, moro, alfaharero",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a+ CH_BA_04,Fernández,Martín,,,,,,clérigo de S. Juan de la Leche,capellán de l'Église de Tolède,,,,,,,"les deux tiendas que tenait Martín Fernández (...) se trouvent prises perpetuas e por reparadas par don Aly, moro (...)  avec la caution de Maestre Hamete",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a+ CH_BA_04,,don Aly,,,,,,,,,,,,moro,1391,"se trouvent prises perpetuas e por reparadas par don Aly, moro, fils de Maestre Abdalla (...) avec la caution de Maestre Hamete, fils de don Abdalla",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yaya,,,,,,,,,,,,moro,9/10/1399,"le chapitre cathédral baille à Yaya, moro, et à sa femme, Fatima, moros moradores en Toledo, une tienda située a la Sal (...) avec la caution de Maestre Ylan, moro, père de Yaya",,La Sal ,"une tienda située a la Sal (...) celle qui est la première au coin de la rue, jouxtant l'autre tienda baillée à García Alfonso, alfaharero, et sa femme, Leonor González",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,Ochoa,Pedro,,,,,,,,,alfaharero,,,,,"l’une des deux précédemment tenue par Pedro Ochoa, alfaharero",,La Sal ,"une tienda située a la Sal (...) celle qui est la première au coin de la rue, jouxtant l'autre tienda baillée à García Alfonso, alfaharero, et sa femme, Leonor González",,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,Fernández,Martín,,,,,,clérigo de San Juan de la Leche,,,,,,,,"des deux tiendas précédemment tenues par Martín Fernández, clérigo de San Juan de la Leche",,La Sal ,,,"Calle de la Sal, nº3 (antes nº4)",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yahia,,,,,,,,,,,,moro,1401,"est tenue par Yahia, moro, fils de Maestre Aly Ydan",,La Sal ,"la première, située au coin",,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yaya,,,,,,,,,alfaharero,,,moro,1412,"Yaya, moro, alfaharero, fils de Maestre Yuda, tient une tienda, a la Sal",,La Sal ,"une tienda, a la Sal",,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yaya,,,,,,,,,alfaharero,,,moro,1422,"Yaya, moro, alfaharero, fils de Maestre Yuda, tient une tienda, à la Sal",,La Sal ,Cette tienda est la quatrième au coin (a la esquina),,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yaya,,,,,,,,,alfaharero,,,moro,1439,"la tienda que tenait antérieurement Martín Fernández, clérigo de S. Juan, reste tenue par Maestre Yaya, alfaharero",,La Sal ,Elle jouxte d'un côté une maison de l'Église et de l'autre le coin de rue,,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,,Yaya,,,,,,,,,alfaharero,,,moro,1443,"la tienda que tenait Martín Fernández, clérigo de S. Juan, a été baillée, perpetua e por reparada, à Maestre Yaya, moro, alfaharero",,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,García,Alfonso,,,,,,,,,tundidor,,,,1443,,,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,García,Alfonso,,,,,,,,,tundidor,,,,25/01/1443,"le chapitre baille à Alfonso García, tundidor, et Catalina García, sa femme, la tienda dont doña Fátima, qui avait été la femme de Yaya, moro, a fait abandon (...) avec la caution de García Rodríguez, sastre",,La Sal ,jouxte d'un côté une maison de l'Église et de l'autre le coin et les rues,,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,Abdulasis,Yuçaf,,,,,,,,,Maestre alfaharero,,,muslmán*,11/11/ 1455,"le chapitre baille à Maestre Yuçaf Abdulasis, moro, alfaharero, demeurant en Toledo, et à sa femme, Marioca une tienda située a la Sal, à la colación de San Ginés (...)  avec la caution de Maestre Hamete, alfaharero, moro, frère de Yuçaf (...) avec la caution de Maestre Abdalla, moro, çapatero, cousin de Yuçaf",Colación de San Ginés,La Sal ,"jouxtant une tienda précédemment tenue par Fernand Gutiérrez apotecario et sur les autres côtés, les rues publiques",,"Sal, calle de la. N°s. 1- 2*.",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,López,Lope,Sevillano,Juan,,el sevillano,,,,,Maestre,,,,1401,"le sobradillo situé au dessus des deux tiendas  a été baillé, perpetuo, à Maestre Lope, el sevillano,  et à sa femme, Mencía López, et son fils, Diego",,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,le sobradillo situé au dessus des deux tiendas,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,López,Mencía,,,,,,,,,,,,,1401,"le sobradillo situé au dessus des deux tiendas  a été baillé, perpetuo, à Maestre Lope, el sevillano,  et à sa femme, Mencía López, et son fils, Diego",,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,le sobradillo situé au dessus des deux tiendas,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,López,Diego,,,,,,,,,,,,,1401,"le sobradillo situé au dessus des deux tiendas  a été baillé, perpetuo, à Maestre Lope, el sevillano,  et à sa femme, Mencía López, et son fils, Diego",,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,le sobradillo situé au dessus des deux tiendas,,
TTOPEDITOR-T-20-BA-MO,,CH_BA_05a,López,Diego,,,,,,,,,,,,,1443,"le sobradillo situé au dessus des dites tiendas a été baillé à Juan López Sevillano et son fils, Diego López (...) avec la caution de Juan Alfonso, albañil, fils de Juan Fernández",,La Sal ,,,"Sal, calle de la. N°s. 1- 2*.",,,le sobradillo situé au dessus des dites tiendas,,
